time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-10 00:00:00+00:00,9,6,16,4
2024-04-11 00:00:00+00:00,14,8,2,2
2024-04-12 00:00:00+00:00,13,8,0,0
2024-04-13 00:00:00+00:00,5,3,8,2
2024-04-14 00:00:00+00:00,6,4,0,0
2024-04-15 00:00:00+00:00,30,11,3,2
2024-04-16 00:00:00+00:00,4,3,1,1
2024-04-17 00:00:00+00:00,16,6,8,4
2024-04-18 00:00:00+00:00,4,2,2,2
2024-04-19 00:00:00+00:00,18,8,6,2
2024-04-20 00:00:00+00:00,11,4,5,2
2024-04-21 00:00:00+00:00,7,3,12,4
2024-04-22 00:00:00+00:00,9,6,1,1
2024-04-23 00:00:00+00:00,9,7,9,2
2024-04-24 00:00:00+00:00,10,3,18,1
2024-04-25 00:00:00+00:00,3,1,1,1
2024-04-26 00:00:00+00:00,16,9,1,1
2024-04-27 00:00:00+00:00,13,5,10,2
2024-04-28 00:00:00+00:00,4,2,1,1
2024-04-29 00:00:00+00:00,18,9,7,3
2024-04-30 00:00:00+00:00,4,2,1,1
2024-05-01 00:00:00+00:00,14,7,2,2
2024-05-02 00:00:00+00:00,16,8,0,0
2024-05-03 00:00:00+00:00,16,5,14,2
2024-05-04 00:00:00+00:00,13,6,0,0
2024-05-05 00:00:00+00:00,13,7,0,0
2024-05-06 00:00:00+00:00,14,5,8,3
2024-05-07 00:00:00+00:00,16,6,0,0
2024-05-08 00:00:00+00:00,32,7,3,3
2024-05-09 00:00:00+00:00,13,6,1,1
2024-05-10 00:00:00+00:00,12,5,10,3
2024-05-11 00:00:00+00:00,6,3,4,2
2024-05-12 00:00:00+00:00,5,3,1,1
2024-05-13 00:00:00+00:00,12,6,7,3
2024-05-14 00:00:00+00:00,12,5,7,1
2024-05-15 00:00:00+00:00,18,8,12,4
2024-05-16 00:00:00+00:00,17,8,11,5
2024-05-17 00:00:00+00:00,20,7,1,1
2024-05-18 00:00:00+00:00,7,2,0,0
2024-05-19 00:00:00+00:00,5,4,20,5
2024-05-20 00:00:00+00:00,4,2,5,2
2024-05-21 00:00:00+00:00,16,6,19,7
2024-05-22 00:00:00+00:00,33,11,14,4
2024-05-23 00:00:00+00:00,22,8,2,2
2024-05-24 00:00:00+00:00,17,6,1,1
2024-05-25 00:00:00+00:00,9,5,2,2
2024-05-26 00:00:00+00:00,16,8,5,3
2024-05-27 00:00:00+00:00,13,6,3,2
2024-05-28 00:00:00+00:00,5,3,1,1
2024-05-29 00:00:00+00:00,14,4,0,0
2024-05-30 00:00:00+00:00,8,4,3,2
2024-05-31 00:00:00+00:00,14,7,18,3
2024-06-01 00:00:00+00:00,10,4,1,1
2024-06-02 00:00:00+00:00,13,5,0,0
2024-06-03 00:00:00+00:00,13,6,6,4
2024-06-04 00:00:00+00:00,37,10,11,3
2024-06-05 00:00:00+00:00,8,3,17,4
2024-06-06 00:00:00+00:00,8,4,1,1
2024-06-07 00:00:00+00:00,9,5,4,2
2024-06-08 00:00:00+00:00,14,8,3,3
2024-06-09 00:00:00+00:00,4,2,2,1
2024-06-10 00:00:00+00:00,13,6,10,2
2024-06-11 00:00:00+00:00,9,4,2,2
2024-06-12 00:00:00+00:00,11,6,8,2
2024-06-13 00:00:00+00:00,65,41,81,4
2024-06-14 00:00:00+00:00,33,17,10,2
2024-06-15 00:00:00+00:00,1,1,3,1
