time_iso8601,stars_cumulative
2022-12-27 00:00:00+00:00,1460
2022-12-29 00:00:00+00:00,1463
2022-12-30 00:00:00+00:00,1466
2022-12-31 00:00:00+00:00,1468
2023-01-02 00:00:00+00:00,1469
2023-01-03 00:00:00+00:00,1471
2023-01-04 00:00:00+00:00,1476
2023-01-05 00:00:00+00:00,1478
2023-01-06 00:00:00+00:00,1479
2023-01-08 00:00:00+00:00,1482
2023-01-09 00:00:00+00:00,1483
2023-01-11 00:00:00+00:00,1489
2023-01-12 00:00:00+00:00,1493
2023-01-13 00:00:00+00:00,1497
2023-01-14 00:00:00+00:00,1499
2023-01-16 00:00:00+00:00,1500
2023-01-17 00:00:00+00:00,1501
2023-01-18 00:00:00+00:00,1504
2023-01-19 00:00:00+00:00,1507
2023-01-21 00:00:00+00:00,1509
2023-01-22 00:00:00+00:00,1510
2023-01-23 00:00:00+00:00,1511
2023-01-24 00:00:00+00:00,1513
2023-01-25 00:00:00+00:00,1515
2023-01-26 00:00:00+00:00,1517
2023-01-27 00:00:00+00:00,1520
2023-01-28 00:00:00+00:00,1523
2023-01-29 00:00:00+00:00,1524
2023-01-31 00:00:00+00:00,1528
2023-02-01 00:00:00+00:00,1529
2023-02-02 00:00:00+00:00,1532
2023-02-03 00:00:00+00:00,1533
2023-02-04 00:00:00+00:00,1534
2023-02-05 00:00:00+00:00,1535
2023-02-06 00:00:00+00:00,1536
2023-02-07 00:00:00+00:00,1541
2023-02-08 00:00:00+00:00,1544
2023-02-09 00:00:00+00:00,1545
2023-02-10 00:00:00+00:00,1546
2023-02-11 00:00:00+00:00,1549
2023-02-12 00:00:00+00:00,1550
2023-02-13 00:00:00+00:00,1552
2023-02-14 00:00:00+00:00,1553
2023-02-15 00:00:00+00:00,1557
2023-02-16 00:00:00+00:00,1558
2023-02-17 00:00:00+00:00,1561
2023-02-18 00:00:00+00:00,1564
2023-02-19 00:00:00+00:00,1565
2023-02-20 00:00:00+00:00,1567
2023-02-21 00:00:00+00:00,1569
2023-02-22 00:00:00+00:00,1570
2023-02-23 00:00:00+00:00,1572
2023-02-24 00:00:00+00:00,1575
2023-02-25 00:00:00+00:00,1580
2023-02-26 00:00:00+00:00,1583
2023-02-27 00:00:00+00:00,1584
2023-02-28 00:00:00+00:00,1585
2023-03-01 00:00:00+00:00,1587
2023-03-02 00:00:00+00:00,1588
2023-03-03 00:00:00+00:00,1590
2023-03-04 00:00:00+00:00,1593
2023-03-05 00:00:00+00:00,1594
2023-03-06 00:00:00+00:00,1595
2023-03-07 00:00:00+00:00,1597
2023-03-08 00:00:00+00:00,1599
2023-03-09 00:00:00+00:00,1603
2023-03-11 00:00:00+00:00,1604
2023-03-12 00:00:00+00:00,1607
2023-03-13 00:00:00+00:00,1609
2023-03-14 00:00:00+00:00,1611
2023-03-15 00:00:00+00:00,1612
2023-03-19 00:00:00+00:00,1615
2023-03-21 00:00:00+00:00,1618
2023-03-22 00:00:00+00:00,1622
2023-03-23 00:00:00+00:00,1625
2023-03-24 00:00:00+00:00,1627
2023-03-25 00:00:00+00:00,1629
2023-03-26 00:00:00+00:00,1633
2023-03-27 00:00:00+00:00,1634
2023-03-29 00:00:00+00:00,1635
2023-03-30 00:00:00+00:00,1636
2023-04-01 00:00:00+00:00,1638
2023-04-02 00:00:00+00:00,1644
2023-04-05 00:00:00+00:00,1645
2023-04-07 00:00:00+00:00,1647
2023-04-08 00:00:00+00:00,1649
2023-04-09 00:00:00+00:00,1652
2023-04-10 00:00:00+00:00,1654
2023-04-11 00:00:00+00:00,1657
2023-04-12 00:00:00+00:00,1660
2023-04-13 00:00:00+00:00,1663
2023-04-14 00:00:00+00:00,1666
2023-04-16 00:00:00+00:00,1667
2023-04-17 00:00:00+00:00,1670
2023-04-18 00:00:00+00:00,1673
2023-04-20 00:00:00+00:00,1675
2023-04-21 00:00:00+00:00,1681
2023-04-22 00:00:00+00:00,1683
2023-04-23 00:00:00+00:00,1684
2023-04-24 00:00:00+00:00,1686
2023-04-25 00:00:00+00:00,1688
2023-04-26 00:00:00+00:00,1691
2023-04-27 00:00:00+00:00,1693
2023-04-28 00:00:00+00:00,1694
2023-04-29 00:00:00+00:00,1696
2023-04-30 00:00:00+00:00,1697
2023-05-01 00:00:00+00:00,1699
2023-05-04 00:00:00+00:00,1702
2023-05-06 00:00:00+00:00,1705
2023-05-07 00:00:00+00:00,1710
2023-05-08 00:00:00+00:00,1713
2023-05-09 00:00:00+00:00,1714
2023-05-10 00:00:00+00:00,1715
2023-05-11 00:00:00+00:00,1718
2023-05-12 00:00:00+00:00,1721
2023-05-13 00:00:00+00:00,1724
2023-05-14 00:00:00+00:00,1727
2023-05-15 00:00:00+00:00,1730
2023-05-16 00:00:00+00:00,1733
2023-05-17 00:00:00+00:00,1735
2023-05-18 00:00:00+00:00,1737
2023-05-19 00:00:00+00:00,1740
2023-05-20 00:00:00+00:00,1742
2023-05-21 00:00:00+00:00,1743
2023-05-22 00:00:00+00:00,1744
2023-05-25 00:00:00+00:00,1745
2023-05-27 00:00:00+00:00,1747
2023-05-28 00:00:00+00:00,1748
2023-05-29 00:00:00+00:00,1750
2023-05-30 00:00:00+00:00,1751
2023-06-01 00:00:00+00:00,1752
2023-06-03 00:00:00+00:00,1753
2023-06-04 00:00:00+00:00,1755
2023-06-05 00:00:00+00:00,1756
2023-06-07 00:00:00+00:00,1757
2023-06-09 00:00:00+00:00,1760
2023-06-11 00:00:00+00:00,1761
2023-06-12 00:00:00+00:00,1763
2023-06-13 00:00:00+00:00,1768
2023-06-14 00:00:00+00:00,1773
2023-06-15 00:00:00+00:00,1777
2023-06-16 00:00:00+00:00,1779
2023-06-17 00:00:00+00:00,1782
2023-06-18 00:00:00+00:00,1783
2023-06-19 00:00:00+00:00,1784
2023-06-21 00:00:00+00:00,1787
2023-06-22 00:00:00+00:00,1790
2023-06-23 00:00:00+00:00,1791
2023-06-28 00:00:00+00:00,1792
2023-06-29 00:00:00+00:00,1793
2023-06-30 00:00:00+00:00,1796
2023-07-01 00:00:00+00:00,1800
2023-07-03 00:00:00+00:00,1802
2023-07-04 00:00:00+00:00,1803
2023-07-05 00:00:00+00:00,1805
2023-07-06 00:00:00+00:00,1806
2023-07-07 00:00:00+00:00,1807
2023-07-08 00:00:00+00:00,1808
2023-07-09 00:00:00+00:00,1809
2023-07-10 00:00:00+00:00,1810
2023-07-11 00:00:00+00:00,1812
2023-07-12 00:00:00+00:00,1814
2023-07-13 00:00:00+00:00,1815
2023-07-15 00:00:00+00:00,1816
2023-07-16 00:00:00+00:00,1819
2023-07-18 00:00:00+00:00,1820
2023-07-19 00:00:00+00:00,1821
2023-07-20 00:00:00+00:00,1824
2023-07-21 00:00:00+00:00,1826
2023-07-22 00:00:00+00:00,1827
2023-07-23 00:00:00+00:00,1828
2023-07-25 00:00:00+00:00,1831
2023-07-26 00:00:00+00:00,1835
2023-07-27 00:00:00+00:00,1838
2023-07-28 00:00:00+00:00,1839
2023-07-29 00:00:00+00:00,1841
2023-07-31 00:00:00+00:00,1842
2023-08-01 00:00:00+00:00,1845
2023-08-02 00:00:00+00:00,1847
2023-08-03 00:00:00+00:00,1850
2023-08-04 00:00:00+00:00,1851
2023-08-10 00:00:00+00:00,1852
2023-08-13 00:00:00+00:00,1854
2023-08-15 00:00:00+00:00,1861
2023-08-16 00:00:00+00:00,1865
2023-08-17 00:00:00+00:00,1867
2023-08-18 00:00:00+00:00,1868
2023-08-20 00:00:00+00:00,1870
2023-08-21 00:00:00+00:00,1871
2023-08-22 00:00:00+00:00,1873
2023-08-23 00:00:00+00:00,1875
2023-08-24 00:00:00+00:00,1877
2023-08-25 00:00:00+00:00,1881
2023-08-27 00:00:00+00:00,1882
2023-08-29 00:00:00+00:00,1884
2023-08-30 00:00:00+00:00,1887
2023-09-01 00:00:00+00:00,1888
2023-09-02 00:00:00+00:00,1890
2023-09-03 00:00:00+00:00,1894
2023-09-04 00:00:00+00:00,1897
2023-09-06 00:00:00+00:00,1898
2023-09-07 00:00:00+00:00,1900
2023-09-08 00:00:00+00:00,1905
2023-09-09 00:00:00+00:00,1906
2023-09-10 00:00:00+00:00,1907
2023-09-11 00:00:00+00:00,1912
2023-09-12 00:00:00+00:00,1914
2023-09-13 00:00:00+00:00,1916
2023-09-14 00:00:00+00:00,1918
2023-09-15 00:00:00+00:00,1921
2023-09-16 00:00:00+00:00,1922
2023-09-18 00:00:00+00:00,1923
2023-09-20 00:00:00+00:00,1925
2023-09-21 00:00:00+00:00,1927
2023-09-22 00:00:00+00:00,1929
2023-09-23 00:00:00+00:00,1930
2023-09-24 00:00:00+00:00,1932
2023-09-25 00:00:00+00:00,1933
2023-09-26 00:00:00+00:00,1937
2023-09-27 00:00:00+00:00,1938
2023-09-28 00:00:00+00:00,1941
2023-09-30 00:00:00+00:00,1943
2023-10-01 00:00:00+00:00,1944
2023-10-02 00:00:00+00:00,1947
2023-10-03 00:00:00+00:00,1948
2023-10-04 00:00:00+00:00,1951
2023-10-05 00:00:00+00:00,1952
2023-10-06 00:00:00+00:00,1955
2023-10-07 00:00:00+00:00,1957
2023-10-08 00:00:00+00:00,1959
2023-10-10 00:00:00+00:00,1961
2023-10-11 00:00:00+00:00,1962
2023-10-13 00:00:00+00:00,1964
2023-10-14 00:00:00+00:00,1965
2023-10-16 00:00:00+00:00,1967
2023-10-17 00:00:00+00:00,1968
2023-10-18 00:00:00+00:00,1970
2023-10-19 00:00:00+00:00,1973
2023-10-20 00:00:00+00:00,1975
2023-10-22 00:00:00+00:00,1976
2023-10-23 00:00:00+00:00,1978
2023-10-24 00:00:00+00:00,1979
2023-10-25 00:00:00+00:00,1983
2023-10-27 00:00:00+00:00,1984
2023-10-29 00:00:00+00:00,1985
2023-10-30 00:00:00+00:00,1987
2023-10-31 00:00:00+00:00,1989
2023-11-02 00:00:00+00:00,1990
2023-11-03 00:00:00+00:00,1991
2023-11-05 00:00:00+00:00,1992
2023-11-07 00:00:00+00:00,1996
2023-11-08 00:00:00+00:00,1997
2023-11-09 00:00:00+00:00,1999
2023-11-10 00:00:00+00:00,2000
2023-11-11 00:00:00+00:00,2001
2023-11-13 00:00:00+00:00,2003
2023-11-14 00:00:00+00:00,2005
2023-11-16 00:00:00+00:00,2007
2023-11-18 00:00:00+00:00,2011
2023-11-20 00:00:00+00:00,2013
2023-11-21 00:00:00+00:00,2014
2023-11-22 00:00:00+00:00,2016
2023-11-23 00:00:00+00:00,2017
2023-11-24 00:00:00+00:00,2022
2023-11-25 00:00:00+00:00,2024
2023-11-27 00:00:00+00:00,2026
2023-11-28 00:00:00+00:00,2027
2023-11-29 00:00:00+00:00,2030
2023-11-30 00:00:00+00:00,2031
2023-12-01 00:00:00+00:00,2032
2023-12-04 00:00:00+00:00,2038
2023-12-06 00:00:00+00:00,2041
2023-12-07 00:00:00+00:00,2042
2023-12-08 00:00:00+00:00,2043
2023-12-09 00:00:00+00:00,2044
2023-12-10 00:00:00+00:00,2045
2023-12-11 00:00:00+00:00,2046
2023-12-12 00:00:00+00:00,2047
2023-12-13 00:00:00+00:00,2051
2023-12-14 00:00:00+00:00,2052
2023-12-15 00:00:00+00:00,2054
2023-12-16 00:00:00+00:00,2056
2023-12-17 00:00:00+00:00,2057
2023-12-18 00:00:00+00:00,2058
2023-12-19 00:00:00+00:00,2060
2023-12-20 00:00:00+00:00,2061
